"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"14500","Boulder, CO","360","238","106","15","1",".","151","85.5","45",".",".","334",".","25","1"
"15860","Ca¤on City, CO","62","60","2",".",".",".","78","34","16",".",".",".",".",".","62"
"17820","Colorado Springs, CO","365","219","134","12",".",".","140","87","48",".",".","334","21","7","3"
"18780","Craig, CO","357","290","67",".",".",".","90","58","44",".",".","357",".",".","."
"19740","Denver-Aurora-Lakewood, CO","365","100","221","36","8",".","169","105","62",".","50","254","6","45","10"
"20420","Durango, CO","365","233","127","4",".","1","293","77","47",".","5","358",".","1","1"
"22660","Fort Collins, CO","365","194","143","26","2",".","164","93","49",".",".","348",".","15","2"
"24060","Glenwood Springs, CO","365","239","125","1",".",".","101","74","47",".","2","362",".",".","1"
"24300","Grand Junction, CO","365","227","134","4",".",".","117","71","47",".",".","324",".","30","11"
"24540","Greeley, CO","365","226","128","11",".",".","133","87","46",".",".","334",".","31","."
"39380","Pueblo, CO","127","117","10",".",".",".","91","43","22",".",".",".",".","103","24"
"44460","Steamboat Springs, CO","349","336","13",".",".",".","64","31","15",".",".",".",".",".","349"
