"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11100","Amarillo, TX","363","335","28",".",".",".","72","46","25",".",".",".",".","363","."
"12420","Austin-Round Rock, TX","365","215","132","15","3",".","156","90","46",".","4","194",".","167","."
"13140","Beaumont-Port Arthur, TX","353","86","201","61","4","1","204","115","64",".",".","127","87","139","."
"15180","Brownsville-Harlingen, TX","361","221","136","4",".",".","133","70","45","1",".","93",".","265","2"
"18580","Corpus Christi, TX","365","226","137","2",".",".","113","71","46",".",".","111","15","238","1"
"19100","Dallas-Fort Worth-Arlington, TX","365","95","171","59","36","4","213","154","65",".","16","166","59","124","."
"20580","Eagle Pass, TX","129","97","32",".",".",".","84","57","35",".",".",".",".","129","."
"21340","El Paso, TX","365","90","233","37","5",".","185","104","62",".","14","132","1","163","55"
"26420","Houston-The Woodlands-Sugar Land, TX","363","42","205","72","37","7","219","156","71",".","10","150","50","137","16"
"28780","Kingsville, TX","346","257","87","2",".",".","114","60","39",".",".",".",".","346","."
"29700","Laredo, TX","365","244","118","3",".",".","104","64","44","2",".","110",".","221","32"
"30980","Longview, TX","364","230","100","30","4",".","172","100","42",".","12","303","18","31","."
"31180","Lubbock, TX","171","130","41",".",".",".","81","56","33",".",".",".",".","171","."
"32220","Marshall, TX","362","189","151","21","1",".","154","92","48.5",".",".","176",".","186","."
"32580","McAllen-Edinburg-Mission, TX","365","219","139","7",".",".","122","75","46",".",".","107",".","252","6"
"36220","Odessa, TX","365","308","57",".",".",".","85","54","31",".",".",".",".","365","."
"41700","San Antonio-New Braunfels, TX","365","198","140","23","4",".","164","93","49",".","28","192",".","144","1"
"45500","Texarkana, TX-AR","117","66","50","1",".",".","101","73","47",".",".",".",".","117","."
"46340","Tyler, TX","365","247","86","31","1",".","156","100","43",".","6","359",".",".","."
"47020","Victoria, TX","357","294","57","6",".",".","147","67","34",".",".","357",".",".","."
"48660","Wichita Falls, TX","288","225","63",".",".",".","85","64","35",".",".",".",".","288","."
