"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11940","Athens, TN","347","240","89","17","1",".","178","80","31",".","155",".","93","93","6"
"15140","Brownsville, TN","306","241","50","12","2","1","203","84","38.5",".","5","299","2",".","."
"16860","Chattanooga, TN-GA","293","123","139","27","4",".","169","101","54",".",".","195",".","93","5"
"17300","Clarksville, TN-KY","365","186","147","29","3",".","200","97","50",".",".","238","38","89","."
"17420","Cleveland, TN","365","323","32","9","1",".","168","55","24",".","197",".","142",".","26"
"18260","Cookeville, TN","109","59","50",".",".",".","97","71","49",".",".",".",".","109","."
"20540","Dyersburg, TN","109","66","40","2","1",".","153","64","43",".",".",".",".","109","."
"27180","Jackson, TN","127","77","48","1","1",".","156","66","43",".",".",".",".","119","8"
"28700","Kingsport-Bristol-Bristol, TN-VA","365","111","159","87","8",".","182","117","72",".","15","115","187","48","."
"28940","Knoxville, TN","365","43","211","98","12","1","202","129","79",".",".","115","148","99","3"
"29980","Lawrenceburg, TN","284","184","96","4",".",".","115","72","45",".",".","193",".","91","."
"32820","Memphis, TN-MS-AR","365","88","219","50","8",".","200","113","63",".","5","122","40","198","."
"34100","Morristown, TN","365","185","140","36","4",".","188","101","49",".",".","290","75",".","."
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN","365","109","220","30","6",".","182","100","59",".","10","125",".","230","."
"42940","Sevierville, TN","362","185","134","38","5",".","159","105","50",".",".","359","3",".","."
