"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13820","Birmingham-Hoover, AL","366","58","277","27","4",".","174","98","67","19",".","57","11","240","39"
"17980","Columbus, GA-AL","366","151","205","10",".",".","129","79","54",".",".","71","4","291","."
"19300","Daphne-Fairhope-Foley, AL","265","210","50","5",".",".","133","68","37",".",".","206",".","59","."
"19460","Decatur, AL","285","195","90",".",".",".","97","67","44",".",".","198",".","87","."
"20020","Dothan, AL","277","206","71",".",".",".","90","61","40",".",".","186",".","91","."
"22520","Florence-Muscle Shoals, AL","277","201","76",".",".",".","97","64","43",".",".","191",".","86","."
"22840","Fort Payne, AL","365","261","99","5",".",".","122","71","43",".",".","307",".","58","."
"23460","Gadsden, AL","340","185","154","1",".",".","105","71","48.5",".",".","87",".","253","."
"26620","Huntsville, AL","366","180","177","9",".",".","147","77","51",".",".","166",".","200","."
"33660","Mobile, AL","357","281","71","5",".",".","150","64","36",".",".","178",".","82","97"
"33860","Montgomery, AL","349","188","157","4",".",".","122","77","48",".",".","104",".","244","1"
"45180","Talladega-Sylacauga, AL","107","61","46",".",".",".","92","64","49",".",".",".",".","107","."
"46220","Tuscaloosa, AL","267","208","58","1",".",".","101","60","40",".",".","179",".","88","."
