"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13820","Birmingham-Hoover, AL","365","31","260","57","16","1","203","127","75","19",".","74","5","213","54"
"17980","Columbus, GA-AL","365","129","211","19","6",".","177","97","57",".",".","85",".","280","."
"19300","Daphne-Fairhope-Foley, AL","269","181","72","15","1",".","154","87","43",".",".","196",".","73","."
"19460","Decatur, AL","284","120","132","30","2",".","172","102","57",".",".","205",".","79","."
"20020","Dothan, AL","276","183","85","7","1",".","158","77","45",".",".","190",".","86","."
"22520","Florence-Muscle Shoals, AL","324","212","97","15",".",".","122","84","45",".",".","194","48","82","."
"22840","Fort Payne, AL","362","202","132","27","1",".","169","93","47",".",".","305",".","57","."
"23460","Gadsden, AL","323","131","170","22",".",".","145","87","54",".",".","127",".","196","."
"26620","Huntsville, AL","364","208","131","23","2",".","182","93","46",".",".","288",".","74","2"
"33660","Mobile, AL","359","261","79","17","2",".","164","75","42",".",".","201",".","71","87"
"33860","Montgomery, AL","353","154","180","14","5",".","157","87","54",".",".","126",".","227","."
"42460","Scottsboro, AL","273","256","16","1",".",".","120","40","9",".",".",".","273",".","."
"45180","Talladega-Sylacauga, AL","118","57","60","1",".",".","113","77","51",".",".",".",".","118","."
"46220","Tuscaloosa, AL","274","154","102","16","2",".","159","93","47",".",".","189",".","85","."
