"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"14500","Boulder, CO","365","257","100","8",".",".","147","74","44","17",".","307",".","41","."
"14720","Breckenridge, CO","268","248","19","1",".",".","108","46","14",".",".",".",".",".","268"
"15860","Ca¤on City, CO","54","54",".",".",".",".","31","27","16.5",".",".",".",".",".","54"
"17820","Colorado Springs, CO","365","256","95","13","1",".","151","77","44","3",".","326",".","28","8"
"19740","Denver-Aurora-Lakewood, CO","365","109","215","39","2",".","164","103","58",".","97","162","5","71","30"
"20420","Durango, CO","365","222","138","5",".",".","140","77","47",".","8","349",".",".","8"
"22660","Fort Collins, CO","365","236","117","11","1",".","151","80","48",".",".","351",".","14","."
"24060","Glenwood Springs, CO","357","348","9",".",".",".","69","34","18",".",".",".",".","1","356"
"24300","Grand Junction, CO","365","322","42","1",".",".","122","52","29","7",".",".",".","94","264"
"24540","Greeley, CO","365","244","102","19",".",".","147","84","44","27",".","301",".","37","."
"39380","Pueblo, CO","124","119","5",".",".",".","63","43","29",".",".",".",".","107","17"
"44460","Steamboat Springs, CO","329","312","17",".",".",".","66","38","17",".",".",".",".","14","315"
