"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"17700","Coffeyville, KS","364","360","4",".",".",".","72","36","21",".",".",".","6",".","358"
"19980","Dodge City, KS","23","21","2",".",".",".","66","34","18",".",".",".",".",".","23"
"21380","Emporia, KS","116","102","14",".",".",".","74","54","26",".",".",".",".","116","."
"28140","Kansas City, MO-KS","365","88","194","69","13","1","201","122","65",".","10","124","85","143","3"
"29940","Lawrence, KS","248","165","65","18",".",".","150","90","44",".",".","248",".",".","."
"31740","Manhattan, KS","363","257","87","18","1",".","156","84","41",".",".","363",".",".","."
"41140","St. Joseph, MO-KS","163","90","73",".",".",".","83","66","45",".",".",".",".","153","10"
"45820","Topeka, KS","159","131","28",".",".",".","78","57","33",".",".","47",".","104","8"
"48620","Wichita, KS","365","238","102","24","1",".","151","93","44","6","23","286",".","29","21"
