"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"22380","Flagstaff, AZ","357","207","148","2",".",".","131","80","49",".",".","341",".","16","."
"29420","Lake Havasu City-Kingman, AZ","120","108","11","1",".",".","121","50","23",".",".",".",".","97","23"
"35700","Nogales, AZ","358","171","173","14",".",".","140","88","51.5",".",".",".",".","26","332"
"37740","Payson, AZ","362","61","170","116","15",".","200","136","84",".",".","84","236","9","33"
"38060","Phoenix-Mesa-Scottsdale, AZ","365","22","121","130","49","43","2148","221","113",".","26","56",".","20","263"
"39140","Prescott, AZ","120","118","2",".",".",".","80","35.5","18",".",".",".",".","86","34"
"40940","Safford, AZ","60","59","1",".",".",".","54","31","18.5",".",".",".",".",".","60"
"43320","Show Low, AZ","311","198","111","2",".",".","112","77","46",".",".","286",".","16","9"
"43420","Sierra Vista-Douglas, AZ","357","239","117","1",".",".","108","71","45",".",".","331",".","17","9"
"46060","Tucson, AZ","365","183","171","11",".",".","127","84","50",".","17","269",".","28","51"
"49740","Yuma, AZ","365","205","140","17","3",".","198","78","48",".","4","165",".",".","196"
