"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10300","Adrian, MI","197","129","62","6",".",".","133","74","46",".",".","144",".","53","."
"11460","Ann Arbor, MI","364","278","82","4",".",".","140","70","38",".",".","298",".","66","."
"13020","Bay City, MI","114","82","32",".",".",".","85","63","28.5",".",".",".",".","114","."
"15620","Cadillac, MI","364","300","59","5",".",".","136","61","36",".",".","328",".","36","."
"19820","Detroit-Warren-Dearborn, MI","366","166","168","31","1",".","176","97","54",".","20","91","66","182","7"
"22420","Flint, MI","242","163","77","2",".",".","133","74","43",".",".","170",".","72","."
"24340","Grand Rapids-Wyoming, MI","365","210","152","3",".",".","147","76","46",".",".","120",".","245","."
"26090","Holland, MI","241","162","71","7","1",".","187","80","43",".",".","169",".","72","."
"26340","Houghton, MI","118","112","6",".",".",".","94","38","12",".",".",".",".","118","."
"27020","Iron Mountain, MI-WI","207","186","21",".",".",".","90","51","37",".",".","207",".",".","."
"28020","Kalamazoo-Portage, MI","238","145","90","3",".",".","129","74","44.5",".",".","162",".","76","."
"29620","Lansing-East Lansing, MI","244","168","73","3",".",".","126","71","43",".",".","169",".","75","."
"31220","Ludington, MI","183","135","46","2",".",".","143","74","44",".",".","183",".",".","."
"33780","Monroe, MI","117","74","43",".",".",".","99","72","45",".",".",".",".","117","."
"34740","Muskegon, MI","356","232","119","4","1",".","185","71","41",".",".","136",".","220","."
"35660","Niles-Benton Harbor, MI","234","149","81","4",".",".","150","80","44",".",".","164",".","70","."
"42300","Sault Ste. Marie, MI","96","52","42","2",".",".","138","79","44",".",".",".",".","96","."
"43780","South Bend-Mishawaka, IN-MI","366","242","120","4",".",".","115","76","42",".","71","165",".","130","."
"45900","Traverse City, MI","183","143","38","1","1",".","154","71","42",".",".","183",".",".","."
