"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13820","Birmingham-Hoover, AL","365","189","173","3",".",".","129","69","50",".","1","102","3","259","."
"17980","Columbus, GA-AL","365","271","93","1",".",".","111","62","41",".",".","123",".","242","."
"19300","Daphne-Fairhope-Foley, AL","273","235","38",".",".",".","87","54","36",".",".","197",".","76","."
"19460","Decatur, AL","282","237","45",".",".",".","87","54","40",".",".","208",".","74","."
"20020","Dothan, AL","285","259","26",".",".",".","84","50","36",".",".","205",".","80","."
"22520","Florence-Muscle Shoals, AL","285","252","33",".",".",".","80","51","38",".",".","202",".","83","."
"22840","Fort Payne, AL","360","319","41",".",".",".","93","51.5","38",".",".","299",".","61","."
"23460","Gadsden, AL","281","244","37",".",".",".","90","52","37",".",".","194",".","87","."
"26620","Huntsville, AL","336","282","54",".",".",".","90","54","40",".",".","217",".","66","53"
"33660","Mobile, AL","285","248","37",".",".",".","90","54","39",".",".","214",".","67","4"
"33860","Montgomery, AL","285","240","45",".",".",".","87","57","40",".",".","193",".","92","."
"45180","Talladega-Sylacauga, AL","114","88","26",".",".",".","63","55","38",".",".",".",".","114","."
"46220","Tuscaloosa, AL","362","333","29",".",".",".","71","49","32",".",".","194","81","87","."
