"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13980","Blacksburg-Christiansburg-Radford, VA","341","312","28","1",".",".","115","50","39",".",".","341",".",".","."
"16820","Charlottesville, VA","366","322","43","1",".",".","122","52","36",".",".","175",".","191","."
"25500","Harrisonburg, VA","366","334","31","1",".",".","108","50","32",".","116","202",".","48","."
"28700","Kingsport-Bristol-Bristol, TN-VA","366","230","111","24","1",".","155","91","45","1","23","173","147","22","."
"31340","Lynchburg, VA","120","115","5",".",".",".","60","44","28",".",".",".",".","120","."
"40060","Richmond, VA","366","263","99","4",".",".","129","64","43",".","8","205","1","152","."
"40220","Roanoke, VA","366","315","51",".",".",".","100","53","36","1","26","158",".","181","."
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","366","315","48","3",".",".","133","52","37",".","25","177","4","160","."
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","366","176","174","16",".",".","133","84","51",".","19","165",".","182","."
"49020","Winchester, VA-WV","358","302","56",".",".",".","90","55","37",".",".","175",".","183","."
