"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"14020","Bloomington, IN","358","297","60","1",".",".","101","56","40",".",".","209",".","149","."
"16980","Chicago-Naperville-Elgin, IL-IN-WI","365","157","183","23","2",".","177","90","53",".","16","148","11","173","17"
"17140","Cincinnati, OH-KY-IN","365","171","184","10",".",".","129","78","52",".","12","129","5","219","."
"18020","Columbus, IN","364","314","50",".",".",".","93","54","38",".",".","164",".","200","."
"21140","Elkhart-Goshen, IN","365","301","63","1",".",".","105","57","38",".",".","185",".","180","."
"21780","Evansville, IN-KY","365","210","145","10",".",".","126","76","48",".",".","132","56","177","."
"23060","Fort Wayne, IN","365","258","106","1",".",".","105","61","44",".",".","171",".","194","."
"26540","Huntington, IN","245","227","18",".",".",".","100","50","39",".",".","245",".",".","."
"26900","Indianapolis-Carmel-Anderson, IN","365","197","159","9",".",".","122","72","48",".","1","132","9","223","."
"27540","Jasper, IN","365","350","15",".",".",".","69","40","4",".",".",".","248","114","3"
"29020","Kokomo, IN","356","305","51",".",".",".","80","53","34",".",".",".",".","356","."
"29200","Lafayette-West Lafayette, IN","365","281","84",".",".",".","81","58","42",".",".","143",".","222","."
"31140","Louisville/Jefferson County, KY-IN","365","217","142","6",".",".","119","67","47",".","12","143",".","210","."
"33140","Michigan City-La Porte, IN","282","216","58","8",".",".","147","64","40",".",".","235",".","47","."
"34620","Muncie, IN","280","238","41","1",".",".","112","54","39",".",".","225",".","55","."
"35220","New Castle, IN","120","108","12",".",".",".","62","50.5","28",".",".",".",".","120","."
"42980","Seymour, IN","226","206","20",".",".",".","93","50","39.5",".",".","226",".",".","."
"43780","South Bend-Mishawaka, IN-MI","365","268","90","7",".",".","133","63","40",".","17","238",".","110","."
"45460","Terre Haute, IN","365","229","134","2",".",".","105","64","46",".",".","153",".","212","."
"47180","Vincennes, IN","355","323","32",".",".",".","100","50","36",".",".","355",".",".","."
"47340","Wabash, IN","332","302","29","1",".",".","105","50","35",".",".","332",".",".","."
"47780","Washington, IN","358","358",".",".",".",".","27","11","4",".",".",".","358",".","."
