"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11700","Asheville, NC","366","272","83","7","4",".","167","64","43",".",".","188",".","178","."
"16740","Charlotte-Concord-Gastonia, NC-SC","366","227","130","7","2",".","156","80","46",".","5","253",".","108","."
"19000","Cullowhee, NC","271","179","83","7","2",".","154","71","45",".",".","209",".","62","."
"20500","Durham-Chapel Hill, NC","366","267","97","2",".",".","119","59","43",".",".","169",".","197","."
"22180","Fayetteville, NC","366","286","80",".",".",".","93","57","40.5",".",".","170","8","186","2"
"24660","Greensboro-High Point, NC","366","271","91","4",".",".","133","64","42",".",".","174",".","185","7"
"24780","Greenville, NC","288","242","46",".",".",".","100","55","38",".",".","155",".","133","."
"25860","Hickory-Lenoir-Morganton, NC","366","261","102","1","2",".","153","59","44",".",".","161",".","204","1"
"28820","Kinston, NC","193","171","22",".",".",".","97","51","40",".",".","193",".",".","."
"33980","Morehead City, NC","327","308","19",".",".",".","93","47","36",".",".","327",".",".","."
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","137","127","8","2",".",".","128","39","27",".",".","121","16",".","."
"37080","Oxford, NC","213","179","34",".",".",".","97","61","41",".",".","213",".",".","."
"39580","Raleigh, NC","366","231","132","3",".",".","135","66","46",".",".","164",".","202","."
"40580","Rocky Mount, NC","356","305","51",".",".",".","97","54","34",".",".","173",".","183","."
"41820","Sanford, NC","363","279","84",".",".",".","100","58","43",".",".","190",".","173","."
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","366","315","48","3",".",".","133","52","37",".","25","177","4","160","."
"47820","Washington, NC","344","343","1",".",".",".","62","11","0",".",".",".","344",".","."
"48900","Wilmington, NC","361","331","30",".",".",".","90","49","31",".",".","172","16","173","."
"49180","Winston-Salem, NC","366","228","135","3",".",".","119","67","45",".","5","177",".","184","."
