"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11700","Asheville, NC","364","263","100","1",".",".","105","64","43",".",".","177",".","187","."
"14380","Boone, NC","116","107","9",".",".",".","58","49","27.5",".",".",".",".","116","."
"15500","Burlington, NC","365","308","57",".",".",".","73","53","35",".",".",".",".","365","."
"16740","Charlotte-Concord-Gastonia, NC-SC","365","212","148","5",".",".","115","72","48",".","3","209",".","153","."
"19000","Cullowhee, NC","264","205","58","1",".",".","119","67","44",".",".","202",".","62","."
"20500","Durham-Chapel Hill, NC","365","293","72",".",".",".","93","56","40",".",".","149","1","215","."
"22180","Fayetteville, NC","314","225","89",".",".",".","97","64","43",".",".","164",".","150","."
"24140","Goldsboro, NC","347","187","160",".",".",".","77","63","48",".",".",".",".","347","."
"24660","Greensboro-High Point, NC","363","259","103","1",".",".","101","64","44",".",".","170","10","183","."
"24780","Greenville, NC","256","221","35",".",".",".","93","54","39",".",".","192",".","64","."
"25860","Hickory-Lenoir-Morganton, NC","364","280","84",".",".",".","100","59","40.5",".",".","146",".","218","."
"28820","Kinston, NC","214","177","37",".",".",".","93","61","40",".",".","214",".",".","."
"31300","Lumberton, NC","120","101","19",".",".",".","61","53.5","35",".",".",".",".","120","."
"32000","Marion, NC","349","304","44","1",".",".","106","52","33",".",".",".",".","348","1"
"33980","Morehead City, NC","341","315","26",".",".",".","93","49","37",".",".","341",".",".","."
"37080","Oxford, NC","214","169","45",".",".",".","100","61","43",".",".","214",".",".","."
"39580","Raleigh, NC","365","215","150",".",".",".","100","64","47",".","3","140",".","222","."
"40580","Rocky Mount, NC","294","254","40",".",".",".","84","53","36",".",".","104",".","190","."
"41820","Sanford, NC","365","262","102","1",".",".","108","61","44",".","1","196",".","168","."
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","365","265","100",".",".",".","97","61","42",".","19","179","16","151","."
"47820","Washington, NC","360","359","1",".",".",".","90","13","1",".",".",".","360",".","."
"48900","Wilmington, NC","365","303","62",".",".",".","93","57","38",".",".","178","20","167","."
"49180","Winston-Salem, NC","365","200","164","1",".",".","105","74","49",".","4","146",".","215","."
