"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13980","Blacksburg-Christiansburg-Radford, VA","325","264","60","1",".",".","101","64","42",".",".","325",".",".","."
"16820","Charlottesville, VA","364","278","85","1",".",".","105","61","40",".",".","142",".","222","."
"25500","Harrisonburg, VA","365","297","66","2",".",".","112","61","36",".","112","189","1","63","."
"28700","Kingsport-Bristol-Bristol, TN-VA","365","163","140","58","4",".","198","109","57",".","42","135","162","26","."
"31340","Lynchburg, VA","112","89","23",".",".",".","70","55","32.5",".",".",".",".","112","."
"40060","Richmond, VA","365","231","112","20","2",".","197","80","45",".","58","157","12","137","1"
"40220","Roanoke, VA","365","215","149","1",".",".","112","71","46",".","20","126","1","215","3"
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","365","228","121","16",".",".","144","77","45",".","19","140","36","170","."
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","365","117","209","29","10",".","187","105","57",".","20","131","2","212","."
"49020","Winchester, VA-WV","365","249","115","1",".",".","101","67","43",".",".","101",".","264","."
