year,cbsa_code,PM2.5_sample_duration,PM2.5_arithmetic_mean,PM2.5_standard_deviation,PM2.5_ninety_ninth_percentile,PM2.5_seventy_fifth_percentile,Ozone_sample_duration,Ozone_arithmetic_mean,Ozone_standard_deviation,Ozone_ninety_ninth_percentile,Ozone_seventy_fifth_percentile,Carbon_monoxide_sample_duration,Carbon_monoxide_arithmetic_mean,Carbon_monoxide_standard_deviation,Carbon_monoxide_ninety_ninth_percentile,Carbon_monoxide_seventy_fifth_percentile,Sulfur_dioxide_sample_duration,Sulfur_dioxide_arithmetic_mean,Sulfur_dioxide_standard_deviation,Sulfur_dioxide_ninety_ninth_percentile,Sulfur_dioxide_seventy_fifth_percentile,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
2009.0,24500.0,0.0,8.765632499999999,5.2439765000000005,23.45,10.85,0.0,0.04444971450181684,0.011767964503664468,0.07222004557803402,0.05265025098824992,0.0,0.3802375,0.2249545,1.15,0.5,0.0,1.4440680000000001,0.86114175,3.9,2.0,0.8493150684931506,0.1506849315068493,0.0,0.0,0.0,68.0,54.0,32.0,35.0,0.0,0.0,0.0,330.0,0.0
2010.0,24500.0,0.0,8.1016995,5.8677455,29.45,9.8,0.0,0.04444971450181684,0.011767964503664468,0.07222004557803402,0.05265025098824992,0.0,0.377504,0.2479765,1.25,0.5,0.0,1.4440680000000001,0.86114175,3.9,2.0,0.863013698630137,0.136986301369863,0.0,0.0,0.0,99.0,53.0,29.0,16.0,0.0,0.0,0.0,349.0,0.0
2011.0,24500.0,0.0,8.622059,5.61414,26.0,10.75,0.0,0.04444971450181684,0.011767964503664468,0.07222004557803402,0.05265025098824992,0.0,0.33062749999999996,0.17400949999999998,0.9500000000000001,0.4,0.0,1.4440680000000001,0.86114175,3.9,2.0,0.8270893371757925,0.1729106628242075,0.0,0.0,0.0,82.0,54.0,33.0,13.0,0.0,0.0,0.0,334.0,0.0
2012.0,24500.0,0.0,9.121731,6.9416685000000005,36.05,10.75,0.0,0.04444971450181684,0.011767964503664468,0.07222004557803402,0.05265025098824992,0.0,0.33062749999999996,0.17400949999999998,0.9500000000000001,0.4,0.0,1.4440680000000001,0.86114175,3.9,2.0,0.8305555555555556,0.16111111111111112,0.008333333333333333,0.0,0.0,132.0,56.5,32.0,0.0,0.0,0.0,0.0,360.0,0.0
2013.0,24500.0,0.0,6.902179,4.5658405,23.049999999999997,8.75,0.0,0.04444971450181684,0.011767964503664468,0.07222004557803402,0.05265025098824992,0.0,0.33062749999999996,0.17400949999999998,0.9500000000000001,0.4,0.0,1.4440680000000001,0.86114175,3.9,2.0,0.9228486646884273,0.0771513353115727,0.0,0.0,0.0,71.0,48.0,26.0,0.0,0.0,0.0,0.0,337.0,0.0
2014.0,24500.0,0.0,8.415745000000001,6.6180015,27.85,10.7,0.0,0.04444971450181684,0.011767964503664468,0.07222004557803402,0.05265025098824992,0.0,0.33062749999999996,0.17400949999999998,0.9500000000000001,0.4,0.0,1.4440680000000001,0.86114175,3.9,2.0,0.8181818181818182,0.17575757575757575,0.0030303030303030303,0.0030303030303030303,0.0,154.0,56.0,28.5,0.0,0.0,0.0,0.0,330.0,0.0
2015.0,24500.0,0.0,8.5040125,10.190484,62.95,8.9,0.0,0.04444971450181684,0.011767964503664468,0.07222004557803402,0.05265025098824992,0.0,0.33062749999999996,0.17400949999999998,0.9500000000000001,0.4,0.0,1.4440680000000001,0.86114175,3.9,2.0,0.8818443804034583,0.09221902017291066,0.008645533141210375,0.01729106628242075,0.0,165.0,54.0,26.0,0.0,0.0,0.0,0.0,347.0,0.0
2016.0,24500.0,0.0,6.401908000000001,3.622191,18.25,7.949999999999999,0.0,0.04444971450181684,0.011767964503664468,0.07222004557803402,0.05265025098824992,0.0,0.33062749999999996,0.17400949999999998,0.9500000000000001,0.4,0.0,1.4440680000000001,0.86114175,3.9,2.0,0.9634831460674157,0.03651685393258427,0.0,0.0,0.0,72.0,39.0,25.0,0.0,0.0,0.0,0.0,356.0,0.0
2017.0,24500.0,0.0,8.370644500000001,6.3545815,36.0,9.7,0.0,0.04444971450181684,0.011767964503664468,0.07222004557803402,0.05265025098824992,0.0,0.33062749999999996,0.17400949999999998,0.9500000000000001,0.4,0.0,1.4440680000000001,0.86114175,3.9,2.0,0.9634831460674157,0.03651685393258427,0.0,0.0,0.0,72.0,39.0,25.0,0.0,0.0,0.0,0.0,356.0,0.0
2018.0,24500.0,0.0,6.831283,6.355987333333334,33.016666666666666,7.983333333333333,0.0,0.04444971450181684,0.011767964503664468,0.07222004557803402,0.05265025098824992,0.0,0.33062749999999996,0.17400949999999998,0.9500000000000001,0.4,0.0,1.4440680000000001,0.86114175,3.9,2.0,0.9138888888888889,0.06944444444444445,0.013888888888888888,0.002777777777777778,0.0,162.0,49.0,25.0,0.0,0.0,0.0,0.0,360.0,0.0
