cbsa_code,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,"$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more","Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate, and rental and leasing","Professional, scientific, and management, and administrative, and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",year,aqi_cluster
10420,0.10958960799090438,0.34266926873467185,0.26659580677902606,0.18383131281010276,0.09731400368529497,0.043546683260013895,0.08572224473257699,0.1052182218106043,0.11691797869877286,0.06535077564250984,0.029350688816855753,0.030345566103264644,0.02092136489928224,0.00310556263669627,0.05484924038821005,0.16963731149529163,0.04688369299967914,0.11596553561388584,0.05057798788977755,0.020434896515588157,0.06207592879872127,0.08697930311763165,0.22431287586874804,0.08793304936814311,0.04741060836647405,0.029834006941153266,0.341411721070433,0.1641473832323167,0.26878571029074544,0.0018103516792115698,0.22384483372729333,2005,0.0
10420,0.11291491240857135,0.34429047941622865,0.2690253041904974,0.18211128355956474,0.09165802042513783,0.042878965378493575,0.08336152287625918,0.10463008791576608,0.1251473274532914,0.055348832240766,0.03274141227829666,0.028767576921844343,0.02217300426938046,0.0044847043140499665,0.06136374083522949,0.16712634167643475,0.03980210990829484,0.1205756280309821,0.04933462042336068,0.020553218874255902,0.06650635500701005,0.0883179342205061,0.21607598427911467,0.09196660461054035,0.04457985704107196,0.02931290077914914,0.32953526856512444,0.16099829920246386,0.28096198487669216,0.0008848743938035809,0.22761957296191593,2006,0.0
10420,0.09939061208583676,0.3659796242607478,0.25497938016298877,0.17795154873604468,0.10169883475438199,0.0425108904423277,0.08200050413783555,0.1125789490501262,0.12361317716894653,0.07404790729544253,0.03263404918539136,0.03364587512292798,0.027621072961525762,0.0021580006415677583,0.062372050975474616,0.18587092823189758,0.04006007407191391,0.1053395934793386,0.04397363739756788,0.021294217141524015,0.05495027849873144,0.09228660581493686,0.230363652270275,0.08881339126884605,0.040660814791053046,0.03185675541687323,0.3490011956490041,0.1661864629202998,0.2562829897057537,4.3743256247995104e-05,0.22848560846869442,2007,0.0
10420,0.09927030728408799,0.3292048275271762,0.2788303517932038,0.19091200890182317,0.1017825044937088,0.04099300396477491,0.09116497652015575,0.10838352896912302,0.11464837025389467,0.07678246270378482,0.0365135537090345,0.038114371510412415,0.03480270186809403,0.004190525841576023,0.051785152675108165,0.17431340826601763,0.033994542966348296,0.13202848084229854,0.04627428535809304,0.020782628159540316,0.05872402879817759,0.10015895098019771,0.22517772192928523,0.08534619296818997,0.04287143104049142,0.024352650174676076,0.3610482264640632,0.16864387330388536,0.25442356894534185,0.0009463391690915428,0.21493799211761805,2008,0.0
10420,0.10143583416647167,0.3412158856437855,0.2835719299738359,0.17712662993767417,0.09664972027823275,0.055538402024353284,0.08441311854746264,0.11388051914866433,0.1206200824079299,0.0655040121517981,0.033417444786332066,0.029939418459802178,0.02181574268283594,0.0035006815220458873,0.0573919622430782,0.17610589711719177,0.02894817430151496,0.1052426158437363,0.039249064783624256,0.019553978347414118,0.06032220681041678,0.09790199292658176,0.2442220741087673,0.08449672449096007,0.047664511015437824,0.03540011648923075,0.35129909510685187,0.17097496682458763,0.25499732795321217,0.0023267823152534842,0.22040182780009487,2009,2.0
10420,0.10687594215312334,0.33616447475824696,0.2718256197803922,0.188852539652588,0.09628142365564953,0.04729986537512033,0.08517243706553283,0.10262749402357889,0.116178784681891,0.06356141416509486,0.03868600434067554,0.036810491505134574,0.02494645197728072,0.003113494355072796,0.047460164688268636,0.1554516705623539,0.034071222329162654,0.12000855523473425,0.042006202545182336,0.019249278152069296,0.06869242403409873,0.08970163618864292,0.24619215668301328,0.09283651863055135,0.04828207831095223,0.032934598285897614,0.36145561208121363,0.1839314359044869,0.2562476129367371,0.06955405838947706,0.1288112806880853,2010,2.0
10420,0.09093818823115452,0.3386431128661999,0.29813193265376636,0.17085407962761595,0.10143268662126328,0.046593324984710374,0.09076215161487608,0.10360544019570725,0.11466857908378716,0.06617133121705449,0.04045927133995399,0.029425255555231965,0.02918863034044908,0.0025920794540565287,0.05413050134757815,0.15688295624387982,0.032196355324070565,0.11687701416700268,0.04308005735923189,0.01654686509969653,0.061779409490951974,0.0859842777496506,0.24761786382336268,0.09302988318968261,0.05688022773919133,0.03240250901164465,0.3466292356245699,0.17088018529578505,0.2604115191404604,0.07470039502684546,0.1473786649123392,2011,0.0
10420,0.09413770502858756,0.3432678548472414,0.27825933021009175,0.18291194861192775,0.1014231613021515,0.05051497577317569,0.08672882689480112,0.10677603449073828,0.1204648132523043,0.07401196922605888,0.04267908447169146,0.03331588859576983,0.03366122319651675,0.004388449744156977,0.05613258873571281,0.16747151554392498,0.033842621319352645,0.1139438194500649,0.04429516521134402,0.013540046102702914,0.058362784507333565,0.09743017898520097,0.23455724319025908,0.09906085976445056,0.047991175139312295,0.028983552306184296,0.3539056902965501,0.17293909227435006,0.25650248948600585,0.07240042805370456,0.14425229988938948,2012,0.0
10420,0.08946079975141613,0.3457940197103494,0.2675509869871383,0.1928015654065312,0.10439262814456496,0.04959406236225846,0.07797415080121141,0.103940652059547,0.1273442720848559,0.07178555686681548,0.04440431673088681,0.03565284156346419,0.038759579701696266,0.008376703116776798,0.05196479738027016,0.16713057715923046,0.03212092860066663,0.11679141570668382,0.05140342670019297,0.018326413660019882,0.061244956435296184,0.09274896204900299,0.23358867902461844,0.09930121045552892,0.040155546459271385,0.02684638325244138,0.34600608151570084,0.18676685573943044,0.25009356178001285,0.07532600432723233,0.14180749663762354,2013,0.0
10420,0.08882462861855497,0.32936914741468404,0.282951425499264,0.19072773016254135,0.10812706830495558,0.046230290368571875,0.08589305628096723,0.10237362544289325,0.11795782103584082,0.07559534732711283,0.042246015725356786,0.045905619627052134,0.03587964596773055,0.003180295407710993,0.04645245962032166,0.15313482150052382,0.03837940204690144,0.12626780101999702,0.04542785766091431,0.01945880294256473,0.058436848830917654,0.1001721101044173,0.24517343402829744,0.09182851156418728,0.04276274132829858,0.02932491394494779,0.36826957392675824,0.16844341088841047,0.2556842383983975,0.06457582630118693,0.14302695048524688,2014,0.0
